Name,Job_Title,Industry,AI_Replacement_Risk,Salary,Years_of_Experience,City,AI_Tool_Threat
Christopher Smith,Paralegal,Legal,3,169179,17,Chicago,Harvey
Tiffany Olson,Software Engineer,Tech,5,130974,34,Chicago,ChatGPT
Janet Morse,Radiologist,Healthcare,1,174901,15,Chicago,Claude
David Ferguson,Customer Support Agent,Healthcare,2,176469,5,New York,ChatGPT
Tammy Davis,Financial Analyst,Finance,4,56867,25,Austin,ChatGPT
Nicole Lee,Data Analyst,Finance,5,171553,33,Remote,Claude
Virginia Thomas,Copywriter,Tech,1,75126,34,Boston,ChatGPT
Sarah Sullivan,Radiologist,Healthcare,4,67769,27,San Francisco,MedpaLM
Amy Martin,Customer Support Agent,Media & Marketing,3,57565,29,Seattle,None
Shawn Becker,Financial Analyst,Finance,5,122893,11,Boston,ChatGPT
Darren Sherman,Financial Analyst,Healthcare,2,74875,10,New York,ChatGPT
Rebecca Simon,HR Manager,Human Resources,1,51642,6,San Francisco,ChatGPT
Nicole Bradley,Data Analyst,Finance,5,56176,22,Seattle,ChatGPT
Amanda Golden,Financial Analyst,Healthcare,5,134904,14,Boston,None
Donald Freeman,Copywriter,Tech,1,80944,21,Austin,ChatGPT
Jeffery Miller,Doctor,Healthcare,2,74559,15,Chicago,Claude
Denise Day DVM,Doctor,Healthcare,5,91072,16,New York,MedpaLM
Vickie Soto,Radiologist,Healthcare,5,131624,20,Boston,Claude
Lori Hudson,Lawyer,Legal,4,157616,29,Remote,Claude
Chad Lopez,HR Manager,Human Resources,3,73391,32,New York,Writer.com
Matthew Sweeney,Customer Support Agent,Tech,1,54552,0,Remote,None
Carl Walker,Technical Recruiter,Finance,1,81572,10,Remote,None
Jason Wade,Financial Analyst,Healthcare,1,156068,15,San Francisco,ChatGPT
Jennifer Rodriguez,Data Analyst,Finance,2,53232,0,Remote,ChatGPT
Sandra Maxwell,HR Manager,Human Resources,2,93409,29,Chicago,Scribe AI
Brian Mitchell,Lawyer,Legal,3,156362,33,San Francisco,DoNotPay
Philip Mata,Financial Analyst,Healthcare,3,182037,18,Boston,Perplexity AI
James Castro,Software Engineer,Tech,2,127567,27,Austin,Github Copilot
Jason Lopez,Financial Analyst,Healthcare,4,144441,14,Boston,Perplexity AI
Felicia Miles,Nurse,Healthcare,1,129528,10,New York,MedpaLM
Valerie Newman,Paralegal,Legal,1,137200,6,Chicago,DoNotPay
Katie Bailey,Data Analyst,Finance,2,157337,15,Boston,Github Copilot
Steven Brown,Copywriter,Tech,2,46261,13,Boston,ChatGPT
Barbara Carr,Software Engineer,Tech,2,77195,29,Seattle,ChatGPT
Shirley Brandt,HR Manager,Human Resources,4,139209,13,Chicago,ChatGPT
Nancy Johnson,Marketing Manager,Media & Marketing,1,97082,23,Chicago,ChatGPT
Lisa Alvarez,HR Manager,Human Resources,4,194024,31,Boston,Writer.com
Timothy Frye,Teacher,Education,3,129059,18,New York,Google Gemini
Gerald Keith,Nurse,Healthcare,1,152147,21,San Francisco,Claude
Dennis Mitchell,Data Analyst,Finance,3,183941,19,Austin,Claude
Christopher Roberts,Financial Analyst,Finance,4,108578,23,Austin,Perplexity AI
Jennifer Wagner,Teacher,Education,4,146012,32,Austin,ChatGPT
Robert Johnson,Data Analyst,Finance,1,180562,15,New York,ChatGPT
William Wilkerson,Paralegal,Legal,3,100065,13,San Francisco,Claude
Matthew Estrada,Teacher,Education,5,159907,3,Chicago,ChatGPT
Kimberly Banks,Financial Analyst,Healthcare,3,57776,25,Chicago,None
David Jensen,Software Engineer,Tech,2,83703,18,Boston,Claude
Theresa Boone PhD,Radiologist,Healthcare,4,144591,15,Seattle,MedpaLM
Adam Hammond,Software Engineer,Tech,2,187026,8,Austin,Github Copilot
Mallory Miller,Copywriter,Media & Marketing,5,109842,18,Boston,Writer.com
Linda Richards,Customer Support Agent,Finance,3,128303,1,San Francisco,None
Ricky Nelson,Teacher,Education,4,153764,18,San Francisco,Claude
Kenneth Lynn,Radiologist,Healthcare,3,146040,10,Chicago,Claude
Tamara Blair,Financial Analyst,Healthcare,2,192246,23,Austin,Perplexity AI
William Mcgee,Software Engineer,Tech,2,118220,17,San Francisco,Github Copilot
Anthony Nelson,Data Analyst,Tech,1,136122,31,Chicago,Github Copilot
Kara Paul,Financial Analyst,Healthcare,5,48440,11,Remote,ChatGPT
Angel Brown,HR Manager,Human Resources,4,97623,31,Chicago,ChatGPT
Manuel Hendrix,Financial Analyst,Healthcare,4,144399,7,Seattle,None
Lisa Evans,Lawyer,Legal,2,165231,0,New York,Claude
Sheena Myers,Paralegal,Legal,2,71980,5,Remote,Harvey
Cody Chaney,Doctor,Healthcare,2,179134,18,Boston,Claude
Suzanne White,Marketing Manager,Media & Marketing,5,124170,20,New York,Writer.com
Peter Taylor,Financial Analyst,Finance,5,174705,20,New York,None
John Mercado,Software Engineer,Tech,3,98042,21,Seattle,ChatGPT
Tony Nicholson,Doctor,Healthcare,5,114517,9,Remote,MedpaLM
Michael Sutton,Teacher,Education,4,101086,13,Remote,Claude
Alyssa Douglas,Copywriter,Tech,1,127284,11,Chicago,Writer.com
John Sims,Marketing Manager,Media & Marketing,2,75864,35,Austin,Writer.com
Mark Freeman,Doctor,Healthcare,5,88262,14,Austin,Claude
Melissa Bryan,Copywriter,Media & Marketing,1,144817,29,Chicago,ChatGPT
Sarah Evans,HR Manager,Human Resources,2,157856,22,San Francisco,Scribe AI
Benjamin Ramirez,Copywriter,Media & Marketing,2,161745,35,Austin,ChatGPT
Michael Silva,Doctor,Healthcare,4,182984,34,Remote,MedpaLM
Elizabeth Nunez,Financial Analyst,Healthcare,1,121923,16,New York,Perplexity AI
William Cruz,Radiologist,Healthcare,1,70059,33,Chicago,MedpaLM
David Castro,Marketing Manager,Media & Marketing,5,67713,31,New York,Scribe AI
Kimberly Juarez,Paralegal,Legal,3,162948,29,San Francisco,Harvey
Stephen Luna,Copywriter,Media & Marketing,3,108914,5,Seattle,ChatGPT
Jonathan Anderson,Customer Support Agent,Tech,3,154174,4,Chicago,Perplexity AI
Christopher Larson,Customer Support Agent,Tech,1,151621,21,Austin,Perplexity AI
Kimberly Williams,Radiologist,Healthcare,2,199200,12,Seattle,MedpaLM
Amanda Morris MD,Lawyer,Legal,4,138425,26,New York,Claude
Brianna Wood,Copywriter,Tech,2,157494,9,Austin,ChatGPT
Joseph Reese,Marketing Manager,Media & Marketing,4,58713,0,Remote,Writer.com
Tommy Byrd,Paralegal,Legal,3,66646,2,New York,DoNotPay
Ronald Dean,Customer Support Agent,Media & Marketing,1,138695,13,Boston,Perplexity AI
Matthew Anderson,Technical Recruiter,Tech,4,89758,3,New York,ChatGPT
Christopher Levine,Financial Analyst,Healthcare,3,158944,22,Chicago,None
Samantha Bowen,Teacher,Education,2,46183,2,Seattle,Google Gemini
Elizabeth Rivera,Nurse,Healthcare,3,125372,14,San Francisco,MedpaLM
Traci Reid,Teacher,Education,3,59748,29,Remote,ChatGPT
Nicole Parrish,Teacher,Education,1,92029,6,Chicago,Claude
Christian Hernandez,Data Analyst,Finance,3,188955,3,Chicago,ChatGPT
Kimberly Thornton,Lawyer,Legal,1,155232,1,Seattle,DoNotPay
Travis Parks,Copywriter,Media & Marketing,2,56962,9,Remote,ChatGPT
Nichole Jones,Copywriter,Media & Marketing,1,114645,13,Seattle,Writer.com
Taylor Parsons,Marketing Manager,Media & Marketing,3,176038,11,Chicago,Writer.com
Jennifer Anderson,Customer Support Agent,Healthcare,5,120782,33,Chicago,Perplexity AI
Kevin Scott,Software Engineer,Tech,1,116159,5,Remote,Github Copilot
Kevin Parker,Customer Support Agent,Healthcare,3,154844,4,Remote,None
Carol Ward,Lawyer,Legal,4,145518,6,Chicago,Harvey
Beth Rice,Software Engineer,Tech,5,136802,1,Remote,Github Copilot
Ryan Bailey,Financial Analyst,Finance,2,178261,14,New York,None
Jennifer Hart,Teacher,Education,5,41959,6,New York,Claude
David Wolfe,Software Engineer,Tech,5,148281,20,Remote,ChatGPT
Johnny Vang,Radiologist,Healthcare,5,98353,7,New York,MedpaLM
Douglas Sanchez,Radiologist,Healthcare,2,150556,23,Remote,Claude
Casey Herring,Copywriter,Media & Marketing,5,129354,11,Seattle,ChatGPT
Brenda Schmidt,Software Engineer,Tech,4,123484,8,Remote,Github Copilot
Tiffany Pena,Financial Analyst,Healthcare,4,45967,17,San Francisco,Perplexity AI
Kimberly Lopez,Customer Support Agent,Media & Marketing,2,123624,35,San Francisco,None
Kelsey Ramirez,Nurse,Healthcare,1,124351,2,Boston,Claude
Crystal Hansen,Financial Analyst,Finance,1,142667,1,New York,None
Joshua Burgess,Data Analyst,Media & Marketing,1,100669,18,Seattle,ChatGPT
Casey Schwartz,Nurse,Healthcare,1,123585,10,Seattle,MedpaLM
Morgan Li,Copywriter,Tech,5,128080,17,Remote,ChatGPT
Emily Collins,Radiologist,Healthcare,5,109513,20,New York,Claude
Christopher Gordon,Customer Support Agent,Healthcare,3,186682,29,Boston,ChatGPT
Lauren Williams DDS,Customer Support Agent,Healthcare,2,64251,7,San Francisco,Perplexity AI
Whitney Acosta,Doctor,Healthcare,1,110372,12,San Francisco,Claude
Todd Hernandez,Financial Analyst,Finance,1,195358,15,Seattle,Perplexity AI
Mr. Angel Espinoza,Copywriter,Tech,4,76080,30,Boston,Writer.com
Lorraine Yoder,Teacher,Education,3,79951,22,New York,Claude
Shannon Lawrence,Nurse,Healthcare,1,76765,34,Remote,MedpaLM
Calvin Donovan,Doctor,Healthcare,3,132729,24,Austin,MedpaLM
Jacob Watkins,Copywriter,Tech,5,160216,28,Seattle,ChatGPT
Dr. Charlene Ward,HR Manager,Human Resources,1,99800,27,Remote,Writer.com
Sherri Jones,Teacher,Education,5,95807,6,New York,ChatGPT
Tanya Martinez,Copywriter,Tech,4,179103,14,Remote,Writer.com
Mrs. Brenda Duncan DVM,Copywriter,Tech,4,158624,22,Boston,Writer.com
Ryan Gonzalez,Customer Support Agent,Finance,2,182959,31,Remote,Perplexity AI
Kimberly Eaton,Software Engineer,Tech,3,78670,19,Austin,Github Copilot
Lisa Gay,Radiologist,Healthcare,1,189088,1,Chicago,Claude
Yvonne Baker,Teacher,Education,1,144346,23,Boston,Google Gemini
Dana Anderson,Paralegal,Legal,3,40323,15,Remote,DoNotPay
Edward Murphy,Copywriter,Tech,5,198837,11,Boston,ChatGPT
Melissa Wong,Data Analyst,Media & Marketing,1,94956,2,Seattle,Claude
Nina Perez,Marketing Manager,Media & Marketing,4,47442,14,New York,Scribe AI
Alexandria Bass,Paralegal,Legal,1,156238,30,New York,DoNotPay
Carol Williams,Nurse,Healthcare,2,171517,10,San Francisco,Claude
Kathleen Taylor,Copywriter,Media & Marketing,5,194545,12,Chicago,Writer.com
Megan Hill,Financial Analyst,Finance,4,156907,31,Remote,Perplexity AI
Charles Harmon,Doctor,Healthcare,2,62777,16,Boston,MedpaLM
Thomas Mooney,Teacher,Education,1,46592,0,New York,Google Gemini
Steven Moss,Lawyer,Legal,1,74213,15,Boston,Claude
Lorraine Hernandez,Marketing Manager,Media & Marketing,5,157128,25,Chicago,Scribe AI
Rodney Smith,Teacher,Education,1,44127,9,New York,Google Gemini
Lori Robertson,Doctor,Healthcare,2,177179,14,Chicago,Claude
Bryan Costa,Doctor,Healthcare,5,127256,33,Boston,MedpaLM
Ann Meadows,Data Analyst,Media & Marketing,2,151816,20,San Francisco,ChatGPT
Teresa Steele,HR Manager,Human Resources,5,168723,11,Austin,Scribe AI
Kathleen Welch,Teacher,Education,1,180718,25,San Francisco,Claude
Jeffrey Taylor,Data Analyst,Healthcare,3,187805,8,Boston,Github Copilot
Michelle Hopkins,HR Manager,Human Resources,2,126539,34,Boston,Writer.com
Frederick Evans,Copywriter,Media & Marketing,2,156541,6,Chicago,Writer.com
Joseph Miller,Technical Recruiter,Human Resources,3,142840,25,Remote,None
Kiara Kelly,HR Manager,Human Resources,5,68726,19,Seattle,Scribe AI
Anthony Stone,Copywriter,Media & Marketing,5,167358,12,Seattle,Writer.com
Julie Flores,Customer Support Agent,Finance,4,78013,17,San Francisco,None
Crystal Vasquez,Lawyer,Legal,4,49791,11,New York,Claude
Amy Brown,Software Engineer,Tech,1,196912,20,San Francisco,Github Copilot
Mr. Jacob Matthews,Teacher,Education,5,140469,31,Chicago,Claude
Mikayla Turner,Copywriter,Tech,1,122272,26,Chicago,Writer.com
Christopher Sandoval,Financial Analyst,Finance,5,121298,32,New York,ChatGPT
Tom Farrell,Copywriter,Media & Marketing,5,62678,10,Remote,Writer.com
Michele Turner,Lawyer,Legal,1,129730,21,Boston,DoNotPay
Deanna Gray,Marketing Manager,Media & Marketing,5,64203,21,Boston,ChatGPT
Ashley Valdez,Data Analyst,Healthcare,3,154202,28,Austin,Claude
Scott Warren,HR Manager,Human Resources,5,109817,13,Remote,Scribe AI
Taylor Wells,Radiologist,Healthcare,5,55734,29,Chicago,MedpaLM
Eric Thomas,Customer Support Agent,Media & Marketing,4,130429,14,New York,None
Teresa Tran,HR Manager,Human Resources,3,182177,3,New York,ChatGPT
Jermaine Ross,Marketing Manager,Media & Marketing,4,157676,12,New York,Writer.com
Brian Guzman,Radiologist,Healthcare,2,94605,7,Seattle,Claude
Daniel Blair,Lawyer,Legal,2,174593,12,Boston,Harvey
Timothy Patterson,Teacher,Education,2,183356,34,Remote,ChatGPT
Benjamin Campos,Doctor,Healthcare,4,192210,30,San Francisco,MedpaLM
Jasmine Parks,Lawyer,Legal,4,127177,15,San Francisco,DoNotPay
Jorge Heath,Technical Recruiter,Human Resources,1,153387,16,San Francisco,ChatGPT
Sabrina Sanchez,Paralegal,Legal,1,143591,12,San Francisco,Claude
Benjamin Kim,Paralegal,Legal,4,170350,32,Austin,Harvey
Daniel Shepherd,HR Manager,Human Resources,4,114005,22,Remote,ChatGPT
Richard Johnson,Software Engineer,Tech,4,143593,28,Austin,ChatGPT
Amy Jones,Technical Recruiter,Human Resources,1,182124,27,Remote,Scribe AI
Tiffany Harris,Nurse,Healthcare,5,170709,20,Chicago,Claude
Donna Fuller,Teacher,Education,2,76395,16,Boston,Google Gemini
Ellen Thompson,Financial Analyst,Healthcare,1,56454,3,Boston,None
Katie Rios,Doctor,Healthcare,4,61976,33,Boston,Claude
Katherine Morgan,Data Analyst,Media & Marketing,4,143739,22,New York,Claude
Andre Brown,Radiologist,Healthcare,5,105237,1,Austin,Claude
Mrs. Melanie Smith,Teacher,Education,1,118925,19,San Francisco,Google Gemini
Laura Oneal,Nurse,Healthcare,3,110307,13,Chicago,Claude
Kenneth Martinez,Radiologist,Healthcare,2,136894,1,San Francisco,Claude
Eileen Bishop,Financial Analyst,Finance,5,166633,9,Seattle,None
Mrs. Wendy King,Teacher,Education,2,103004,12,San Francisco,Google Gemini
Benjamin Odonnell,Paralegal,Legal,1,130308,33,New York,Harvey
Michelle Lam,Technical Recruiter,Human Resources,5,88140,30,San Francisco,None
Betty Wolfe,Doctor,Healthcare,1,91205,11,San Francisco,Claude
Lauren Dudley,Teacher,Education,2,92533,13,Austin,Google Gemini
April Atkinson,Software Engineer,Tech,1,81028,1,Austin,ChatGPT
Clayton Ortiz Jr.,Lawyer,Legal,4,52080,15,Remote,Claude
Matthew Chung,Radiologist,Healthcare,3,102211,18,Chicago,Claude
Tanya Fields,Technical Recruiter,Tech,5,85728,29,Chicago,None
Robert Kent,Financial Analyst,Finance,4,131665,10,Boston,Perplexity AI
Julie Hall,Radiologist,Healthcare,2,80770,35,Austin,Claude
John Ward,Paralegal,Legal,1,73488,22,Remote,DoNotPay
Erin Simmons,Customer Support Agent,Healthcare,2,128567,15,Remote,None
Anthony Walker,Marketing Manager,Media & Marketing,1,134263,35,Chicago,ChatGPT
Lisa Clark,Software Engineer,Tech,2,129653,25,Boston,Claude
Gregory Long,Technical Recruiter,Media & Marketing,3,42680,15,Remote,Scribe AI
Jessica Henry MD,Copywriter,Media & Marketing,5,122468,12,Austin,ChatGPT
Jennifer Sanchez,Marketing Manager,Media & Marketing,2,136632,30,Chicago,ChatGPT
Carrie Garcia,Radiologist,Healthcare,5,192588,12,Remote,MedpaLM
Jeremy Marshall,Software Engineer,Tech,1,45308,2,San Francisco,Github Copilot
Beverly Foster,Customer Support Agent,Tech,5,97817,13,New York,None
Richard Guerrero,HR Manager,Human Resources,3,159373,22,Boston,Scribe AI
Michael Pacheco,Teacher,Education,2,113156,23,New York,Claude
Kevin Delacruz,Data Analyst,Healthcare,4,54816,22,Seattle,Claude
Mario Ferguson,Nurse,Healthcare,2,63549,11,Boston,Claude
Lori Barron,Radiologist,Healthcare,4,47870,13,Seattle,Claude
Kerry Johnson,Teacher,Education,5,193530,13,Chicago,ChatGPT
Karen Gilbert,Software Engineer,Tech,2,197995,13,Austin,Github Copilot
Anthony Santos,Marketing Manager,Media & Marketing,3,69650,10,Boston,Scribe AI
Donna Stevens,Lawyer,Legal,1,167451,21,Chicago,DoNotPay
Victoria Bell,Financial Analyst,Healthcare,2,136840,13,Austin,None
Jacqueline Parker,Paralegal,Legal,3,70533,8,Austin,Harvey
Monica Burch,Copywriter,Media & Marketing,1,199523,11,Boston,Writer.com
Vanessa Edwards,Teacher,Education,4,53490,22,New York,Claude
Megan Nelson,Nurse,Healthcare,4,154869,21,Seattle,MedpaLM
Christopher Wagner,Customer Support Agent,Tech,5,150764,12,Boston,Perplexity AI
Danny Hamilton,Technical Recruiter,Media & Marketing,5,177213,13,Remote,ChatGPT
David Hayden,Teacher,Education,4,86910,8,Chicago,Google Gemini
Henry Bailey,Radiologist,Healthcare,4,136202,27,Boston,MedpaLM
Victor Nash,Financial Analyst,Finance,5,154063,27,Boston,ChatGPT
Susan Collins,Financial Analyst,Finance,3,40175,26,Chicago,None
Jose Hughes,Data Analyst,Healthcare,4,117963,23,Boston,ChatGPT
Courtney Jones,Financial Analyst,Finance,2,67239,31,Chicago,None
David Carter,Software Engineer,Tech,5,54032,6,Chicago,Claude
Deborah Diaz,Technical Recruiter,Media & Marketing,3,136573,22,Boston,Scribe AI
Alyssa Nelson,Radiologist,Healthcare,3,197076,6,Seattle,Claude
Caleb Carr,Paralegal,Legal,2,84086,1,New York,Claude
John Williams,HR Manager,Human Resources,2,171973,13,New York,ChatGPT
Ryan Kelley,Nurse,Healthcare,4,194033,19,New York,Claude
Paul Moore,Paralegal,Legal,4,135939,3,New York,Harvey
Caitlyn Weiss,Lawyer,Legal,5,49743,13,Remote,DoNotPay
Jonathan Owens,Lawyer,Legal,2,169361,34,Chicago,Harvey
Kristine Smith,Copywriter,Tech,5,40537,6,Seattle,ChatGPT
David Lopez,Technical Recruiter,Finance,1,45558,26,Remote,Scribe AI
Eric Lee,Doctor,Healthcare,1,124296,21,Boston,Claude
Douglas White,Customer Support Agent,Healthcare,3,178552,19,New York,Perplexity AI
Kyle Woods,Copywriter,Tech,1,152191,22,New York,Writer.com
Andrea Logan,Technical Recruiter,Human Resources,3,57420,22,Seattle,None
Jill Carroll,Copywriter,Tech,3,124048,8,Seattle,Writer.com
Vicki Johns,Data Analyst,Tech,3,175365,2,Boston,Github Copilot
Grace Elliott,Doctor,Healthcare,4,105176,28,New York,MedpaLM
Lonnie Davis,Doctor,Healthcare,3,176997,23,Remote,MedpaLM
Timothy Thomas,Technical Recruiter,Media & Marketing,3,82513,17,New York,None
Barbara Stephens,Data Analyst,Tech,3,86954,9,New York,Github Copilot
Brandon Williams,Nurse,Healthcare,4,191463,11,Seattle,MedpaLM
Michael Adams,Data Analyst,Tech,4,199462,6,Remote,ChatGPT
Patrick King,Doctor,Healthcare,4,150853,4,Boston,Claude
